Week,Channel,Region,Channel Group,Channel Type,Super Region,Year,Quarter,Month,Spend,Impressions,Clicks,Conversions,Leads,Revenue,New Customers
2024-01-01,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-01,16349.55,336207,18413,788,2258,89319.24,454
2024-01-01,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-01,11952.04,235082,11198,521,1354,61736.46,332
2024-01-01,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-01,6985.85,129330,5702,264,643,33484.57,171
2024-01-01,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-01,13278.17,1101073,13303,288,751,32334.64,170
2024-01-01,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-01,9135.78,702282,7384,169,393,20582.65,107
2024-01-01,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-01,4896.2,354155,4097,81,200,10515.03,44
2024-01-01,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-01,8133.77,1675197,7407,82,230,8725.73,50
2024-01-01,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-01,5236.11,1013174,3904,46,116,5229.53,31
2024-01-01,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-01,3013.99,542429,2187,24,60,2913.26,14
2024-01-01,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-01,10323.51,541407,4441,82,193,9730.46,52
2024-01-01,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-01,6191,306129,2620,42,101,5320.08,24
2024-01-01,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-01,3426.12,174500,1678,23,65,2783.78,10
2024-01-01,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-01,8769.98,102761,3233,212,536,29890.75,139
2024-01-01,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-01,5252.17,74061,2342,140,348,21049.74,85
2024-01-01,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-01,3113.16,48720,1696,90,238,13294.89,45
2024-01-01,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-01,6641.54,128765,4605,231,546,28548,138
2024-01-01,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-01,3763.5,93101,3697,159,411,21132.06,79
2024-01-01,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-01,2519.25,51151,2197,100,275,11940.14,53
2024-01-01,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-01,5262.61,144736,2861,103,251,13027.23,68
2024-01-01,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-01,3165.86,103666,2274,73,195,9449.42,39
2024-01-01,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-01,2135.08,61139,1448,48,133,5858.1,25
2024-01-08,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-01,15389.99,275663,12748,510,1272,66366.79,282
2024-01-08,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-01,10082.56,194817,9975,389,1069,46169.65,206
2024-01-08,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-01,7153.25,149449,7857,337,943,37627.53,195
2024-01-08,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-01,11727.74,900699,11036,221,571,28193.3,122
2024-01-08,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-01,8211.22,677170,9030,181,504,21376.74,97
2024-01-08,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-01,5757.86,469600,5429,119,316,13592.31,71
2024-01-08,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-01,6796.05,1254311,5299,51,132,6024.53,25
2024-01-08,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-01,5023.66,1031687,4780,49,141,5053.35,27
2024-01-08,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-01,3518.27,717758,3050,33,88,3542.53,20
2024-01-08,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-01,8683.67,469797,4690,70,194,8387.06,37
2024-01-08,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-01,6353.46,355155,3246,54,145,6185.07,30
2024-01-08,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-01,4201.53,219365,1841,33,79,3929.52,19
2024-01-08,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-01,7806.45,102720,3671,201,554,28196.28,106
2024-01-08,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-01,5743.34,63771,2237,136,373,17940.77,81
2024-01-08,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-01,4024.05,44453,1360,91,222,12938.52,62
2024-01-08,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-01,6367.16,122143,5199,251,677,29417.7,139
2024-01-08,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-01,4657.78,80575,2928,155,391,18048.28,96
2024-01-08,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-01,2722.41,56225,2056,98,237,12280.76,55
2024-01-08,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-01,5389.1,130734,3204,111,321,12848.29,65
2024-01-08,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-01,3937.35,90041,1926,71,192,8458.19,47
2024-01-08,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-01,2302.72,63162,1266,46,115,5900.9,30
2024-01-15,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-01,18062.54,366912,16800,747,1892,85524.55,452
