Week,Campaign,Device,Platform,Objective,Funnel Stage,Year,Quarter,Month,Cost,Impressions,Reach,Clicks,Conversions,Conversion Value,Video Views
2024-01-01,BR-Search-Brand-Core,Desktop,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1367.52,12674,4870,1133,99,14090.55,0
2024-01-01,BR-Search-Brand-Core,Mobile,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1483.16,13881,5583,1319,94,13130.27,0
2024-01-01,BR-Search-Brand-Core,Tablet,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,295.47,2799,1051,253,19,2622.87,0
2024-01-01,BR-Search-Brand-Core,Connected TV,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,238.28,1702,674,160,12,1703.37,0
2024-01-01,NB-Search-Generic-Solutions,Desktop,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,6313.93,59364,24754,2046,65,15718.29,0
2024-01-01,NB-Search-Generic-Solutions,Mobile,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,7197.69,66228,28325,2463,68,16777.55,0
2024-01-01,NB-Search-Generic-Solutions,Tablet,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1451.52,12993,5779,429,11,2787.13,0
2024-01-01,NB-Search-Generic-Solutions,Connected TV,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1099.61,7728,3167,266,7,1705.53,0
2024-01-01,PMax-Retail-Feed,Desktop,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,5212.97,292535,126823,6052,278,22732.02,0
2024-01-01,PMax-Retail-Feed,Mobile,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,5946.04,339779,138176,7969,318,26581.35,0
2024-01-01,PMax-Retail-Feed,Tablet,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,1274.33,73416,31409,1546,63,5050.21,0
2024-01-01,PMax-Retail-Feed,Connected TV,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,977.25,40597,17682,842,34,2795.43,0
2024-01-01,YT-Awareness-InStream,Desktop,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3446.06,354543,142578,2267,15,2825.58,116280
2024-01-01,YT-Awareness-InStream,Mobile,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3690.75,382926,159068,2627,14,2616.74,123754
2024-01-01,YT-Awareness-InStream,Tablet,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,734.85,74509,28277,483,1,175.29,24765
2024-01-01,YT-Awareness-InStream,Connected TV,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,599.24,45564,18371,289,0,0,14961
2024-01-01,FB-Prospecting-LAL-3pct,Desktop,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,4264.2,482359,203767,4707,68,6510.81,0
2024-01-01,FB-Prospecting-LAL-3pct,Mobile,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,4924.39,563576,247108,5990,76,7216.73,0
2024-01-01,FB-Prospecting-LAL-3pct,Tablet,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,980.81,110088,50073,1025,12,1159.81,0
2024-01-01,FB-Prospecting-LAL-3pct,Connected TV,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,751.94,65683,27807,642,8,784.18,0
2024-01-01,IG-Retargeting-Cart-7d,Desktop,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,2887.84,203061,91278,3641,190,16986.91,0
2024-01-01,IG-Retargeting-Cart-7d,Mobile,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3337.83,237071,100392,4872,219,19283.45,0
2024-01-01,IG-Retargeting-Cart-7d,Tablet,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,715.77,51425,22306,948,44,3732.22,0
2024-01-01,IG-Retargeting-Cart-7d,Connected TV,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,542.32,29308,13228,531,24,2058.37,0
2024-01-01,FB-Catalog-DPA-Evergreen,Desktop,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,3891.39,391499,161072,5629,247,20511.54,0
2024-01-01,FB-Catalog-DPA-Evergreen,Mobile,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4166.18,423842,186965,6470,230,19553.19,0
2024-01-01,FB-Catalog-DPA-Evergreen,Tablet,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,829.27,85359,34322,1240,43,3613.9,0
2024-01-01,FB-Catalog-DPA-Evergreen,Connected TV,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,669.54,49799,21025,703,26,2159.63,0
2024-01-01,LI-ABM-Enterprise-Tier1,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,4922.39,100060,38286,543,13,10977.04,0
2024-01-01,LI-ABM-Enterprise-Tier1,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,5619.24,115989,46166,677,14,11638.39,0
2024-01-01,LI-ABM-Enterprise-Tier1,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,1132.49,22786,10894,118,0,0,0
2024-01-01,LI-ABM-Enterprise-Tier1,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,868.12,13072,5638,71,0,0,0
2024-01-01,LI-Content-Whitepaper,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2056.8,43984,20217,297,6,2629.06,0
2024-01-01,LI-Content-Whitepaper,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2348.88,50698,21828,391,7,3069.69,0
2024-01-01,LI-Content-Whitepaper,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,504.27,11049,4430,77,0,0,0
2024-01-01,LI-Content-Whitepaper,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,385.8,6352,2582,44,0,0,0
2024-01-01,DV360-Display-Retarget,Desktop,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3207.21,615944,218101,3043,60,8860.4,0
2024-01-01,DV360-Display-Retarget,Mobile,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3696.36,717138,265105,3842,66,9689.73,0
2024-01-01,DV360-Display-Retarget,Tablet,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,736.76,140092,60633,668,13,1947.47,0
2024-01-01,DV360-Display-Retarget,Connected TV,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,565.08,80353,31643,371,7,1044.94,0
2024-01-01,DV360-CTV-Reach,Desktop,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,3610.57,171318,70320,483,0,0,54758
2024-01-01,DV360-CTV-Reach,Mobile,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,3866.23,185657,71829,596,0,0,59089
2024-01-01,DV360-CTV-Reach,Tablet,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,830.53,40124,16360,116,0,0,12516
