Month,Source,Segment,Stage,Source Type,Stage Order,Year,Quarter,Month Label,Cycle Days,Records,Pipeline Value,Won Value,Visitors,Leads,MQLs,SQLs,Opportunities,Customers,Cycle Pool
2024-01-01,Paid Search,Enterprise,Visitors,Paid,1,2024,2024-Q1,2024-01,0,9753,0,0,9753,0,0,0,0,0,0
2024-01-01,Paid Search,Enterprise,Leads,Paid,2,2024,2024-Q1,2024-01,0,1057,0,0,0,1057,0,0,0,0,0
2024-01-01,Paid Search,Enterprise,MQL,Paid,3,2024,2024-Q1,2024-01,0,439,0,0,0,0,439,0,0,0,0
2024-01-01,Paid Search,Enterprise,SQL,Paid,4,2024,2024-Q1,2024-01,89.46,244,0,0,0,0,0,244,0,0,0
2024-01-01,Paid Search,Enterprise,Opportunity,Paid,5,2024,2024-Q1,2024-01,89.46,145,4239867,0,0,0,0,0,145,0,0
2024-01-01,Paid Search,Enterprise,Customer,Paid,6,2024,2024-Q1,2024-01,89.46,63,1829074,1829074,0,0,0,0,0,63,5635.98
2024-01-01,Paid Search,Mid-Market,Visitors,Paid,1,2024,2024-Q1,2024-01,0,14834,0,0,14834,0,0,0,0,0,0
2024-01-01,Paid Search,Mid-Market,Leads,Paid,2,2024,2024-Q1,2024-01,0,1592,0,0,0,1592,0,0,0,0,0
2024-01-01,Paid Search,Mid-Market,MQL,Paid,3,2024,2024-Q1,2024-01,0,669,0,0,0,0,669,0,0,0,0
2024-01-01,Paid Search,Mid-Market,SQL,Paid,4,2024,2024-Q1,2024-01,48.38,364,0,0,0,0,0,364,0,0,0
2024-01-01,Paid Search,Mid-Market,Opportunity,Paid,5,2024,2024-Q1,2024-01,48.38,225,2068766,0,0,0,0,0,225,0,0
2024-01-01,Paid Search,Mid-Market,Customer,Paid,6,2024,2024-Q1,2024-01,48.38,80,735496,735496,0,0,0,0,0,80,3870.4
2024-01-01,Paid Search,SMB,Visitors,Paid,1,2024,2024-Q1,2024-01,0,18978,0,0,18978,0,0,0,0,0,0
2024-01-01,Paid Search,SMB,Leads,Paid,2,2024,2024-Q1,2024-01,0,2009,0,0,0,2009,0,0,0,0,0
2024-01-01,Paid Search,SMB,MQL,Paid,3,2024,2024-Q1,2024-01,0,853,0,0,0,0,853,0,0,0,0
2024-01-01,Paid Search,SMB,SQL,Paid,4,2024,2024-Q1,2024-01,20.56,454,0,0,0,0,0,454,0,0,0
2024-01-01,Paid Search,SMB,Opportunity,Paid,5,2024,2024-Q1,2024-01,20.56,281,859872,0,0,0,0,0,281,0,0
2024-01-01,Paid Search,SMB,Customer,Paid,6,2024,2024-Q1,2024-01,20.56,91,278120,278120,0,0,0,0,0,91,1870.96
2024-01-01,Paid Social,Enterprise,Visitors,Paid,1,2024,2024-Q1,2024-01,0,11483,0,0,11483,0,0,0,0,0,0
