Month,Channel,Plan,Channel Type,Year,Quarter,Month Label,New Customers,Acquisition Cost,New MRR,LTV Pool,First Order Revenue,Lifetime Pool
2024-01-01,Paid Search,Starter,Paid,2024,2024-Q1,2024-01,780,87381.54,22582.87,276879.84,29824.35,11143.4
2024-01-01,Paid Search,Growth,Paid,2024,2024-Q1,2024-01,417,188968,40632.49,760380.4,51583.79,9128.7
2024-01-01,Paid Search,Enterprise,Paid,2024,2024-Q1,2024-01,128,429846.42,63769.91,2077558.44,82421.94,4896.8
2024-01-01,Paid Social,Starter,Paid,2024,2024-Q1,2024-01,612,52150.95,17601.44,215913.7,22694.07,8844.4
2024-01-01,Paid Social,Growth,Paid,2024,2024-Q1,2024-01,344,115199.83,34078.88,634821.27,44633.03,7515.5
2024-01-01,Paid Social,Enterprise,Paid,2024,2024-Q1,2024-01,112,284371.12,55605.01,1775903.22,72803.8,4197.6
2024-01-01,Content / SEO,Starter,Organic,2024,2024-Q1,2024-01,871,43408.09,25152.59,310063,33226.28,12547.6
2024-01-01,Content / SEO,Growth,Organic,2024,2024-Q1,2024-01,472,95180.33,46016.36,863611.02,58906.61,10360.1
2024-01-01,Content / SEO,Enterprise,Organic,2024,2024-Q1,2024-01,144,218462.36,71858.64,2328569.44,93842.78,5506.7
2024-01-01,Email,Starter,Owned,2024,2024-Q1,2024-01,361,15818.1,10229.72,127867.06,12908.47,5279.3
2024-01-01,Email,Growth,Owned,2024,2024-Q1,2024-01,191,32938.13,19015.45,356002.49,24523.4,4235.4
2024-01-01,Email,Enterprise,Owned,2024,2024-Q1,2024-01,64,81776.14,31946.86,1026608.33,42028.07,2404.9
2024-01-01,Referral,Starter,Earned,2024,2024-Q1,2024-01,287,11713.62,8412.38,103569.42,11001,4190.2
2024-01-01,Referral,Growth,Earned,2024,2024-Q1,2024-01,166,26576.71,16558.76,306383.79,22165.89,3598.5
2024-01-01,Referral,Enterprise,Earned,2024,2024-Q1,2024-01,52,63059.23,25655.51,826912.95,33293.71,1953.9
2024-01-01,Outbound,Starter,Sales-led,2024,2024-Q1,2024-01,201,76150.75,5839.48,70964.29,7756.99,2872.7
2024-01-01,Outbound,Growth,Sales-led,2024,2024-Q1,2024-01,109,167349.07,10622,199230.63,13696.48,2390.1
2024-01-01,Outbound,Enterprise,Sales-led,2024,2024-Q1,2024-01,33,384095.07,16430.67,534147.83,21091.53,1261.6
2024-01-01,Marketplace,Starter,Partner,2024,2024-Q1,2024-01,419,27525.16,12117.69,149046.07,15478.37,6066.7
2024-01-01,Marketplace,Growth,Partner,2024,2024-Q1,2024-01,235,61291.59,23308.2,436995.83,30381.74,5182.1
2024-01-01,Marketplace,Enterprise,Partner,2024,2024-Q1,2024-01,75,146168.9,37134.35,1199226.16,49010.58,2824.4
