Cohort Month,Cohort Label,Channel,Channel Type,Month Index,Cohort Size,Customers Retained,Retention,Cohort Revenue
2024-01-01,2024-01,Paid Search,Paid,0,1095,1095,1.0,37747.44
2024-01-01,2024-01,Paid Search,Paid,1,1095,917,0.84,26944.54
2024-01-01,2024-01,Paid Search,Paid,2,1095,780,0.71,23803.72
2024-01-01,2024-01,Paid Search,Paid,3,1095,636,0.58,20904.31
2024-01-01,2024-01,Paid Search,Paid,4,1095,567,0.52,19279.49
2024-01-01,2024-01,Paid Search,Paid,5,1095,519,0.47,15006.08
2024-01-01,2024-01,Paid Search,Paid,6,1095,479,0.44,14392.84
2024-01-01,2024-01,Paid Search,Paid,7,1095,435,0.4,14093.35
2024-01-01,2024-01,Paid Search,Paid,8,1095,415,0.38,13916.08
2024-01-01,2024-01,Paid Search,Paid,9,1095,401,0.37,11405.86
2024-01-01,2024-01,Paid Search,Paid,10,1095,389,0.36,11979.01
2024-01-01,2024-01,Paid Search,Paid,11,1095,376,0.34,12005.15
2024-01-01,2024-01,Paid Search,Paid,12,1095,370,0.34,12683.38
2024-01-01,2024-01,Paid Search,Paid,13,1095,365,0.33,10210.38
2024-01-01,2024-01,Paid Search,Paid,14,1095,362,0.33,10977.45
2024-01-01,2024-01,Paid Search,Paid,15,1095,359,0.33,11293.66
2024-01-01,2024-01,Paid Search,Paid,16,1095,356,0.33,12036.18
2024-01-01,2024-01,Paid Search,Paid,17,1095,355,0.32,9763.82
2024-01-01,2024-01,Paid Search,Paid,18,1095,354,0.32,10568.51
2024-01-01,2024-01,Paid Search,Paid,19,1095,353,0.32,10939.03
2024-01-01,2024-01,Paid Search,Paid,20,1095,352,0.32,11735.53
2024-01-01,2024-01,Paid Search,Paid,21,1095,352,0.32,12134.78
2024-01-01,2024-01,Paid Search,Paid,22,1095,351,0.32,10314.0
2024-01-01,2024-01,Paid Search,Paid,23,1095,351,0.32,10712.12
2024-01-01,2024-01,Paid Social,Paid,0,1014,1014,1.0,29615.92
2024-01-01,2024-01,Paid Social,Paid,1,1014,760,0.75,18828.63
2024-01-01,2024-01,Paid Social,Paid,2,1014,615,0.61,15843.87
2024-01-01,2024-01,Paid Social,Paid,3,1014,471,0.46,13098.45
2024-01-01,2024-01,Paid Social,Paid,4,1014,403,0.4,11605.49
2024-01-01,2024-01,Paid Social,Paid,5,1014,358,0.35,8722.75
2024-01-01,2024-01,Paid Social,Paid,6,1014,324,0.32,8214.41
2024-01-01,2024-01,Paid Social,Paid,7,1014,301,0.3,8247.58
2024-01-01,2024-01,Paid Social,Paid,8,1014,278,0.27,7891.99
2024-01-01,2024-01,Paid Social,Paid,9,1014,268,0.26,6420.2
2024-01-01,2024-01,Paid Social,Paid,10,1014,261,0.26,6510.34
2024-01-01,2024-01,Paid Social,Paid,11,1014,256,0.25,6909.78
2024-01-01,2024-01,Paid Social,Paid,12,1014,251,0.25,7022.78
2024-01-01,2024-01,Paid Social,Paid,13,1014,249,0.25,7476.64
2024-01-01,2024-01,Paid Social,Paid,14,1014,247,0.24,6060.03
2024-01-01,2024-01,Paid Social,Paid,15,1014,246,0.24,6539.18
2024-01-01,2024-01,Paid Social,Paid,16,1014,245,0.24,6754.63
2024-01-01,2024-01,Paid Social,Paid,17,1014,245,0.24,7256.26
2024-01-01,2024-01,Paid Social,Paid,18,1014,244,0.24,6145.11
2024-01-01,2024-01,Paid Social,Paid,19,1014,244,0.24,6386.15
2024-01-01,2024-01,Paid Social,Paid,20,1014,244,0.24,6885.74
2024-01-01,2024-01,Paid Social,Paid,21,1014,244,0.24,7126.78
2024-01-01,2024-01,Paid Social,Paid,22,1014,244,0.24,6045.25
2024-01-01,2024-01,Paid Social,Paid,23,1014,243,0.24,6260.53
2024-01-01,2024-01,Content / SEO,Organic,0,1062,1062,1.0,37966.32
2024-01-01,2024-01,Content / SEO,Organic,1,1062,918,0.86,27694.36
