Month,Month Label,Year,Landing Page,Page Category,Search Intent,Pageviews,Entrances,Exits,Avg Time on Page,Page Conversions,Scroll Depth,Time Pool,Scroll Pool
2024-01-01,2024-01,2024,/,Home,Navigational,53024,25874,27043,67,195,0.85,3552608,45070.4
2024-01-01,2024-01,2024,/pricing,Pricing,Commercial,24607,15273,7501,135,936,0.49,3321945,12057.43
2024-01-01,2024-01,2024,/product/analytics,Product,Commercial,14368,9838,5037,138,423,0.57,1982784,8189.76
2024-01-01,2024-01,2024,/product/automation,Product,Commercial,12004,4771,5346,139,188,0.73,1668556,8762.92
2024-01-01,2024-01,2024,/blog/marketing-attribution-guide,Blog,Informational,29614,13665,14543,241,138,0.81,7136974,23987.34
2024-01-01,2024-01,2024,/blog/roas-benchmarks-2025,Blog,Informational,22193,13186,6344,222,193,0.46,4926846,10208.78
2024-01-01,2024-01,2024,/blog/email-subject-lines,Blog,Informational,11970,7878,3969,150,78,0.54,1795500,6463.8
2024-01-01,2024-01,2024,/resources/roi-calculator,Tool,Commercial,8737,3240,3725,249,194,0.7,2175513,6115.9
2024-01-01,2024-01,2024,/resources/templates,Tool,Informational,11750,5110,5547,147,119,0.78,1727250,9165.0
2024-01-01,2024-01,2024,/customers/case-study-northwind,Case Study,Commercial,7143,4055,1907,225,182,0.42,1607175,3000.06
2024-01-01,2024-01,2024,/compare/vs-competitor,Comparison,Commercial,7174,4531,2595,160,269,0.5,1147840,3587.0
2024-01-01,2024-01,2024,/demo,Demo,Transactional,6352,2187,2588,87,325,0.67,552624,4255.84
2024-02-01,2024-02,2024,/,Home,Navigational,55014,28308,12599,65,219,0.36,3575910,19805.04
2024-02-01,2024-02,2024,/pricing,Pricing,Commercial,25494,14751,8255,138,927,0.44,3518172,11217.36
2024-02-01,2024-02,2024,/product/analytics,Product,Commercial,15005,10673,5545,133,469,0.6,1995665,9003.0
2024-02-01,2024-02,2024,/product/automation,Product,Commercial,12509,4445,5808,142,120,0.77,1776278,9631.93
2024-02-01,2024-02,2024,/blog/marketing-attribution-guide,Blog,Informational,30745,15005,15682,233,156,0.85,7163585,26133.25
2024-02-01,2024-02,2024,/blog/roas-benchmarks-2025,Blog,Informational,23006,12701,7014,226,179,0.49,5199356,11272.94
2024-02-01,2024-02,2024,/blog/email-subject-lines,Blog,Informational,12514,8569,4387,144,87,0.57,1802016,7132.98
2024-02-01,2024-02,2024,/resources/roi-calculator,Tool,Commercial,9112,6823,4058,255,586,0.73,2323560,6651.76
2024-02-01,2024-02,2024,/resources/templates,Tool,Informational,12207,5634,5995,150,135,0.81,1831050,9887.67
2024-02-01,2024-02,2024,/customers/case-study-northwind,Case Study,Commercial,7410,3894,2119,230,168,0.46,1704300,3408.6
2024-02-01,2024-02,2024,/compare/vs-competitor,Comparison,Commercial,7508,4942,2490,164,301,0.54,1231312,4054.32
2024-02-01,2024-02,2024,/demo,Demo,Transactional,6632,4790,2828,89,1028,0.7,590248,4642.4
2024-03-01,2024-03,2024,/,Home,Navigational,53499,28952,13269,67,215,0.39,3584433,20864.61
2024-03-01,2024-03,2024,/pricing,Pricing,Commercial,16934,10248,4974,98,660,0.47,1659532,7958.98
2024-03-01,2024-03,2024,/product/analytics,Product,Commercial,14439,10655,5610,136,452,0.64,1963704,9240.96
2024-03-01,2024-03,2024,/product/automation,Product,Commercial,13023,4974,5656,146,138,0.71,1901358,9246.33
