Keyword,Cluster,Search Volume,Difficulty,Position,Previous Position,Position Change,Organic Clicks,Organic Impressions,Keyword Conversions,Position Pool
marketing attribution software,Attribution,8100,62,16.69,16.05,-0.64,61,10328,3,135189.0
multi touch attribution,Attribution,3600,58,18.7,19.13,0.43,31,2743,2,67320.0
marketing roi calculator,ROI,2900,41,3.9,6.54,2.64,265,2541,6,11310.0
roas benchmarks,ROI,1900,37,5.55,9.26,3.71,52,2115,1,10545.0
campaign reporting dashboard,Reporting,4400,49,12.34,11.26,-1.08,32,5402,1,54296.0
marketing dashboard template,Reporting,12100,44,13.48,14.61,1.13,101,8647,5,163108.0
power bi marketing dashboard,Reporting,5400,39,2.91,5.11,2.2,905,4477,17,15714.0
email marketing metrics,Email,6600,35,4.55,1.96,-2.59,443,7035,11,30030.0
email deliverability guide,Email,2400,33,7.92,6.4,-1.52,68,2833,3,19008.0
customer acquisition cost,Unit Economics,14800,66,18.29,18.98,0.69,120,9876,6,270692.0
ltv cac ratio,Unit Economics,5900,52,2.43,4.19,1.76,967,5335,15,14337.0
cohort analysis,Unit Economics,9900,57,5.54,2.51,-3.03,255,10084,6,54846.0
seo content strategy,SEO,8800,71,14.35,12.39,-1.96,61,11049,2,126280.0
keyword clustering tool,SEO,1600,29,7.97,8.22,0.25,51,992,2,12752.0
marketing funnel stages,Funnel,18100,48,1.28,2.6,1.32,5410,15510,71,23168.0
lead scoring model,Funnel,4800,54,4.13,7.66,3.53,458,4662,9,19824.0
paid social benchmarks,Paid Media,2100,31,6.16,3.76,-2.4,56,2537,2,12936.0
google ads vs meta ads,Paid Media,3300,45,13.36,13.17,-0.19,26,1889,1,44088.0
programmatic advertising guide,Paid Media,2700,61,20.95,21.82,0.87,22,2186,1,56565.0
brand awareness metrics,Brand,3900,43,4.98,8.07,3.09,364,3603,6,19422.0
