Month,Channel,Device,Country,Year,Quarter,Month Label,Sessions,Users,New Users,Pageviews,Bounces,Session Seconds,Goal Completions,Goal Value
2024-01-01,Organic Search,Desktop,United States,2024,2024-Q1,2024-01,57348,46800,28564,179768,23242,10507260,1788,166929.52
2024-01-01,Organic Search,Desktop,United Kingdom,2024,2024-Q1,2024-01,19830,16328,9888,62425,8124,3567872,616,59095.04
2024-01-01,Organic Search,Desktop,Germany,2024,2024-Q1,2024-01,12487,10187,6175,38974,5141,2281491,393,37776.02
2024-01-01,Organic Search,Desktop,India,2024,2024-Q1,2024-01,16560,13596,8270,50962,6815,3006593,502,47901.15
2024-01-01,Organic Search,Desktop,Australia,2024,2024-Q1,2024-01,7687,6310,3810,24417,3142,1395397,242,23155.44
2024-01-01,Organic Search,Desktop,Canada,2024,2024-Q1,2024-01,10551,8657,5191,33393,4308,1896594,333,31330.55
2024-01-01,Organic Search,Mobile,United States,2024,2024-Q1,2024-01,71476,58510,35582,182529,32951,13143165,2274,215552.55
2024-01-01,Organic Search,Mobile,United Kingdom,2024,2024-Q1,2024-01,24766,20153,12300,63726,11493,4587828,774,73209.2
2024-01-01,Organic Search,Mobile,Germany,2024,2024-Q1,2024-01,15902,12920,7838,41119,7316,2845872,506,47788.33
2024-01-01,Organic Search,Mobile,India,2024,2024-Q1,2024-01,20650,17091,10399,52656,9677,3762333,643,61598.42
2024-01-01,Organic Search,Mobile,Australia,2024,2024-Q1,2024-01,9165,7482,4499,23321,4278,1646413,287,27784.87
2024-01-01,Organic Search,Mobile,Canada,2024,2024-Q1,2024-01,12651,10318,6316,32426,5852,2330255,394,37043.41
2024-01-01,Organic Search,Tablet,United States,2024,2024-Q1,2024-01,11440,9340,5642,36309,4678,2053408,364,34587.17
2024-01-01,Organic Search,Tablet,United Kingdom,2024,2024-Q1,2024-01,3770,3099,1870,11756,1556,675061,115,11140.05
2024-01-01,Organic Search,Tablet,Germany,2024,2024-Q1,2024-01,2489,2025,1235,7826,1006,453242,79,7445.18
2024-01-01,Organic Search,Tablet,India,2024,2024-Q1,2024-01,3216,2612,1587,10089,1319,597178,101,9643.13
2024-01-01,Organic Search,Tablet,Australia,2024,2024-Q1,2024-01,1491,1221,736,4727,607,264217,46,4366.98
2024-01-01,Organic Search,Tablet,Canada,2024,2024-Q1,2024-01,2021,1659,1008,6299,832,371328,64,6089.16
2024-01-01,Paid Search,Desktop,United States,2024,2024-Q1,2024-01,23305,19143,13363,54448,11248,3234589,994,95283.26
2024-01-01,Paid Search,Desktop,United Kingdom,2024,2024-Q1,2024-01,7846,6466,4470,17750,3765,1104180,326,31168.01
2024-01-01,Paid Search,Desktop,Germany,2024,2024-Q1,2024-01,5230,4282,2954,12279,2503,732570,220,20855.08
