Week,Platform,Post Type,Platform Group,Format Group,Year,Quarter,Month,Posts,Impressions,Reach,Engagements,Likes,Comments,Shares,Saves,Link Clicks,Followers Gained,Followers Lost,Video Views,Mentions,Sentiment Pool
2024-01-01,Instagram,Image,Visual,Static,2024,2024-Q1,2024-01,11,132910,100187,4173,2792,455,346,304,1043,186,68,0,159,67.61
2024-01-01,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-01,10,155237,96068,6928,4645,591,707,480,824,246,80,0,126,80.12
2024-01-01,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-01,18,474761,295424,22002,15280,1580,2207,1781,1520,735,261,254170,241,153.01
2024-01-01,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-01,23,188710,116442,6246,4144,500,604,388,944,272,78,0,204,126.62
2024-01-01,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-01,9,79873,50453,1278,894,99,117,115,302,103,41,0,152,75.23
2024-01-01,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-01,6,63833,44302,1632,1137,152,135,132,375,79,29,0,73,31.56
2024-01-01,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-01,11,164351,110615,4694,3176,436,409,333,905,230,70,94063,117,54.78
2024-01-01,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-01,6,30543,20150,408,288,35,38,36,149,45,16,0,94,49.95
2024-01-01,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-01,20,1025408,663791,58752,42605,4929,5217,5912,4444,1545,678,562593,291,151.78
2024-01-01,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-01,25,415559,249209,17544,12039,1365,1819,1336,1646,609,195,0,281,176.52
2024-01-01,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-01,8,54723,36902,612,425,56,49,49,284,65,24,0,143,62.24
2024-01-01,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-01,15,178848,113406,3536,2387,304,330,248,829,276,84,97503,140,90.75
2024-01-01,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-01,9,35596,23292,318,224,27,29,28,173,47,19,0,148,75.6
2024-01-01,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-01,6,197668,144539,6805,4841,681,502,617,1280,243,85,123748,80,27.65
2024-01-01,Facebook,Image,Community,Static,2024,2024-Q1,2024-01,7,36205,23885,254,172,24,21,18,226,39,12,0,96,37.33
2024-01-01,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-01,11,117793,73316,1422,987,115,130,118,474,152,53,62548,145,93.24
2024-01-01,Facebook,Text,Community,Static,2024,2024-Q1,2024-01,7,21221,14465,116,81,11,9,11,129,23,8,0,86,30.21
2024-01-01,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-01,16,62148,40941,568,388,50,53,44,312,94,32,0,176,102.19
2024-01-01,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-01,2,19808,11116,327,227,22,37,27,50,32,12,9382,30,20.72
2024-01-01,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-01,6,36753,23751,429,283,37,39,26,166,55,15,0,49,30
2024-01-01,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-01,2,11862,7288,97,68,7,11,8,34,22,9,5674,31,23.39
2024-01-08,Instagram,Image,Visual,Static,2024,2024-Q1,2024-01,15,203110,127217,6118,4206,494,522,484,825,256,84,0,185,115.53
2024-01-08,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-01,11,209499,132435,8136,5645,656,709,663,844,256,92,0,179,86.18
2024-01-08,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-01,15,376718,260759,17506,12169,1664,1401,1461,2145,454,157,228998,189,74.76
2024-01-08,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-01,21,217891,133261,7110,5012,606,694,607,924,312,117,0,309,185.02
2024-01-08,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-01,7,55703,40988,975,670,102,74,83,394,70,27,0,110,42.8
2024-01-08,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-01,7,66111,41735,1739,1151,156,167,113,365,98,30,0,85,48.07
2024-01-08,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-01,11,180480,110898,4945,3418,400,494,377,693,275,94,103210,136,85.7
